AcceptedName,USDAcode,PropagationDescription.L,Propogation Description 2
Leucothoe fontanesiana,LEFO,Germinate seeds under mist or a plastic tent. Semi-hardwood and hardwood cuttings root easily with hormone treatment.,Germinate seeds under mist or a plastic tent. Semi-hardwood and hardwood cuttings root easily with hormone treatment.
Oenothera pilosella,OEPI2,NA,NA
Viburnum obovatum,VIOB,NA,NA
Eriophorum angustifolium,ERAN6,NA,NA
Andropogon glomeratus,ANGL2,"Propagate by seed or division. As with other bunchgrasses, divisions should be made during winter dormancy. Can become root-bound fast, so don't wait too long to put it in the ground if you've started it in pots.","Propagate by seed or division. As with other bunchgrasses, divisions should be made during winter dormancy. Can become root-bound fast, so don't wait too long to put it in the ground if you've started it in pots."
Galax urceolata,GAUR2,"Propagate by fresh seed, cuttings in summer, or root division in spring. Divide large clumps, leaving soil adhering. Seed should be planted as soon as ripe.","Propagate by fresh seed, cuttings in summer, or root division in spring. Divide large clumps, leaving soil adhering. Seed should be planted as soon as ripe."
Asclepias viridis,ASVI2,NA,NA
Pycnanthemum tenuifolium,PYTE,"Best propagated by cuttings or divisions. Tip cuttings are easy and reliable, taken in June. To make divisions, lift the clump in late fall or early spring and use pruning shears to divide the shallow root system. Seeds are so tiny it is best to plant","Best propagated by cuttings or divisions. Tip cuttings are easy and reliable, taken in June. To make divisions, lift the clump in late fall or early spring and use pruning shears to divide the shallow root system. Seeds are so tiny it is best to plant"
Juncus articulatus,JUAR4,NA,NA
Rhododendron periclymenoides,RHPE4,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga
Quercus shumardii,QUSH,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate shoot development. Protect outdoor beds with
Rhododendron flammeum,RHFL,NA,NA
Packera aurea,PAAU3,Divide golden ragwort in the spring.,Divide golden ragwort in the spring.
Achillea millefolium,ACMI2,NA,NA
Acorus calamus,ACAM,NA,NA
Alisma triviale,ALTR7,NA,NA
Amelanchier nantucketensis,AMNA2,NA,NA
Amsonia hubrichtii,AMHU,NA,NA
Anemonastrum canadense,ANCA8,May be propagated by root cuttings taken in spring or by division in either fall or early spring. Each piece of,May be propagated by root cuttings taken in spring or by division in either fall or early spring. Each piece of rhizome should be several inches long and placed a foot apart at a depth of 1/2 in. Anemone propagated by seed will mature and produce flower
Antennaria parlinii,ANPA9,NA,NA
Arctostaphylos densiflora,ARDE2,NA,NA
Arnoglossum reniforme,ARRE6,NA,NA
Artemisia palmeri,ARPA15,Propagation is from seed or division of the root crown.,Propagation is from seed or division of the root crown.
Asclepias hirtella,ASHI,NA,NA
Berlandiera lyrata,BELY,NA,NA
Buchloë dactyloides,BODA2,NA,"Sow treated seed from April to September, preferably in clay loam. If on caliche, sow thickly. Keep moist until established. Seed requires light for germination. Old seed germinates better than young seed."
Callirhoe alcaeoides,CAAL,NA,NA
Carex albicans,CAAL25,NA,NA
Carex annectens,CAAN6,NA,NA
Carex bicknellii,CABI3,NA,NA
Carex bromoides,CABR14,NA,NA
Carex bushii,CABU5,NA,NA
Carex cherokeensis,CACH3,NA,NA
Carex comosa,CACO8,NA,NA
Carex crinita,CACR6,NA,NA
Carex cristatella,CACR7,NA,NA
Carex davisii,CADA,NA,NA
Carex eburnea,CAEB2,NA,NA
Carex flaccosperma,CAFL3,NA,NA
Carex frankii,CAAU4,NA,NA
Carex grayi,CAGR5,NA,NA
Carex haydenii,CAHA7,NA,NA
Carex lurida,CALU5,NA,NA
Carex muskingumensis,CAMU9,NA,NA
Carex normalis,CANO,NA,NA
Carex pensylvanica,CAPE6,"Propagate by division of mature plants in spring, making sure each section has roots and leaves.","Propagate by division of mature plants in spring, making sure each section has roots and leaves."
Carex radiata,CARA8,NA,NA
Carex squarrosa,CASQ2,NA,NA
Carex stricta,CAST8,NA,NA
Carex swanii,CASW,NA,NA
Coreopsis pubescens,COPU2,NA,NA
Cornus drummondii,CODR,"Sow seeds immediately after collection or scarify and stratify and sow the following spring. Cornus spp. will root from softwood or semi-hardwood cuttings taken in summer, hardwood cuttings in winter, and suckers and division and by layering in the early","Sow seeds immediately after collection or scarify and stratify and sow the following spring. Cornus spp. will root from softwood or semi-hardwood cuttings taken in summer, hardwood cuttings in winter, and suckers and division and by layering in the early"
Dalea greggii,DAGR2,NA,NA
Diarrhena americana,DIAM,NA,NA
Diarrhena obovata,DIOB3,NA,NA
Dryopteris celsa,DRCE,NA,NA
Echinacea simulata,ECSI,NA,NA
Echinacea tennesseensis,ECTE3,NA,NA
Eurybia divaricata,EUDI16,"Can be started from seed, by dividing clumps in early spring or allowed to spread on it's own.","Can be started from seed, by dividing clumps in early spring or allowed to spread on it's own."
Eurybia hemispherica,EUHE10,NA,NA
Eustoma grandiflorum,EUEXR,NA,"The seed is exceptionally small and somewhat difficult to germinate. The best results have come from surface seeding (since the seed requires light for germination) in flats at approximately 70 75 degrees. Field seeding can be done in spring or fall, however, spring germination usually results in the vegetative growth overwintering and not flowering until the second summer. Fall germination should produce flowers the first season."
Eutrochium dubium,EUDU6,NA,NA
Eutrochium fistulosum,EUFI14,"Sow seeds in the fall and plant thickly as germination is usually low. Propagation is also possible by ""softwood"" cuttings taken in late spring or by division. Divide the plants in fall as they go dormant, or in the spring just as shoots first appear.","Sow seeds in the fall and plant thickly as germination is usually low. Propagation is also possible by ""softwood"" cuttings taken in late spring or by division. Divide the plants in fall as they go dormant, or in the spring just as shoots first appear."
Fothergilla latifolia,FOMA,Semi-hardwood cuttings root with or without hormone. Rooted cuttings should not be moved until new vegetative growth is over an inch long or normal winter dormancy is completed. Sucker can be separated to increase the plant. Progagation by seed is tric,Semi-hardwood cuttings root with or without hormone. Rooted cuttings should not be moved until new vegetative growth is over an inch long or normal winter dormancy is completed. Sucker can be separated to increase the plant. Progagation by seed is tric
Gentiana clausa,GECL,Propagate by seed or divisions of the root crown. Divide root crowns in fall or early spring and plant 1 ft. apart. Be sure to include a large ball of soil aroung the division when you lift it out. This protects the brittle crown. Germination of seed,Propagate by seed or divisions of the root crown. Divide root crowns in fall or early spring and plant 1 ft. apart. Be sure to include a large ball of soil aroung the division when you lift it out. This protects the brittle crown. Germination of seed
Heuchera richardsonii,HERI,NA,NA
Hibiscus lasiocarpos,HILA6,NA,NA
Homalosorus pycnocarpos,DIPY,NA,NA
Iodanthus pinnatifidus,IOPI,NA,NA
Juncus dudleyi,JUDU2,NA,NA
Ledum palustre,LEPA11,Layers and fall-collected cuttings can be used for propagation. Seeds should be sown on shaded peat moss. There is no dormancy and germination takes 2-3 weeks.,NA
Liatris aspera,LIAS,"Scarified seeds may be sown outside in late fall or stored, stratified and sown the following spring. Some sources suggest spring seedlings will appear by simply laying the flowering stalk in an outdoor seedbed and covering with 1/2 in. of soil in the fa","Scarified seeds may be sown outside in late fall or stored, stratified and sown the following spring. Some sources suggest spring seedlings will appear by simply laying the flowering stalk in an outdoor seedbed and covering with 1/2 in. of soil in the fa"
Liatris microcephala,LIMI7,NA,NA
Muhlenbergia capillaris,MUCA2,Germinates well and grows easily.,Germinates well and grows easily.
Myrica heterophylla,MOCA7,NA,NA
Onoclea pensylvatica,MAST,NA,NA
Osmundastrum claytonianum,OSCL2,Propagate by spores or,Propagate by spores or rhizome division.
Packera obovata,PAOB6,Propagate by fresh seed or root division during winter dormancy.,Propagate by fresh seed or root division during winter dormancy.
Pancratium maritimum,PAMA38,NA,NA
Paspalum floridanum,PAFL4,NA,NA
Paxistima canbyi,PACA,Increase by layering branches. Short,Increase by layering branches. Short stem cutting taken in summer and grown in sand under glass will root.
Penstemon pallidus,PEPA7,Propagate by seed.,Propagate by seed.
Penstemon pinifolius,PEPI3,NA,NA
Penstemon smallii,PESM,Sow seeds immediately outdoors. Most will wait to germinate until spring.,"Sow seeds immediately outdoors. Most will wait to germinate until spring. Stem cuttings may be taken in early summer, after flowering, and stuck in sand:perlite. Division is the easiest method of increase. Separate crowns in fall or early spring."
Penstemon strictus,PEST2,"Propagation is usually by seed although root division is possible. Barely scratch seeds into the soil in fall. Make root divisions in early spring, making sure each division has at least one bud.","Propagation is usually by seed although root division is possible. Barely scratch seeds into the soil in fall. Make root divisions in early spring, making sure each division has at least one bud."
Penstemon tubaeflorus,PETU,NA,NA
Persicaria virginiana,POVI2,NA,NA
Pieris phillyreifolia,PIPH,NA,NA
Pinus elliottii,PIEL,"Sow fresh, untreated seed in late fall.","Sow fresh, untreated seed in late fall."
Pinus glabra,PIGL2,Propagate by seed.,Propagate by seed.
Pinus longaeva,PILO,NA,NA
Pinus strobiformis,PIST3,NA,NA
Potentilla neumanniana,PONE20,NA,NA
Quercus ellipsoidalis,QUEL,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate shoot development. Protect outdoor beds with
Quercus geminata,QUGE2,NA,NA
Quercus hemisphaerica,QUHE2,NA,NA
Quercus muehlenbergii,QUMU,Seedlings damp off readily.,Seedlings damp off readily.
Rhododendron alabamense,RHAL5,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of organic matter. Cultivated,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of organic matter. Cultivated evergreen azaleas
